,show_id,title,country,release_year,is_adult,num_seasons,description,num_episodes
486,s1420,Last Tango in Halifax,United Kingdom,2020,TV-MA,4,Two widowed childhood sweethearts fall for each other all over again when they are reunited over the Internet after nearly 60 years.,16
487,s1428,Inside the World’s Toughest Prisons,United Kingdom,2021,TV-MA,5,"Investigative journalist Paul Connolly becomes a voluntary inmate in the world's most volatile prisons, where intimidation and brutality rule.",16
488,s1430,Mighty Little Bheem: Kite Festival,India,2021,TV-Y,1,"With winter behind them, Bheem and his townspeople usher in a sunny new season in all their favorite ways during the Makar Sankranti festival.",19
489,s1431,Pretend It’s a City,United States,2021,TV-14,1,"Wander the New York City streets and fascinating mind of wry writer, humorist and raconteur Fran Lebowitz as she sits down with Martin Scorsese.",22
490,s1433,The Idhun Chronicles,Spain,2021,TV-14,2,"A boy suddenly orphaned fights his parents' killer to save a planet, and discovers a new world of danger — and wonder.",16
491,s1438,Surviving Death,United States,2021,TV-MA,1,"What happens after we die? This docuseries explores personal stories and research on near-death experiences, reincarnation and paranormal phenomena.",19
492,s1440,History of Swear Words,United States,2021,TV-MA,1,"Nicolas Cage hosts this proudly profane, funny and engagingly educational series about the history and impact of the most notorious English swear words.",13
493,s1441,Nailed It! Mexico,Mexico,2021,TV-PG,3,"The fun, fondant and hilarious cake fails head to Mexico, where very amateur bakers compete to re-create elaborate sweet treats for a cash prize.",21
494,s1443,Korean Pork Belly Rhapsody,Not Available,2020,TV-G,1,A love letter to pork belly — a perennial favorite among Koreans of every generation — unfolds with an exploration of its history and cooking methods.,20
495,s1444,QB1: Beyond the Lights,United States,2019,TV-14,1,This riveting series follows three star high school quarterbacks as they play their final season before moving on to Division I college football.,16
496,s1449,Cobra Kai,United States,2021,TV-14,3,"Decades after the tournament that changed their lives, the rivalry between Johnny and Daniel reignites in this sequel to the ""Karate Kid"" films.",19
497,s1450,Dream Home Makeover,United States,2021,TV-G,2,"Dreams come true for real families looking for the perfect home tailored to their own unique style, thanks to Shea and Syd McGee of Studio McGee.",16
498,s1456,Headspace Guide to Meditation,United States,2021,TV-G,1,"Headspace takes a friendly, animated look at the benefits of meditation while offering techniques and guided meditations to jump-start your practice.",15
499,s1458,Jenni Rivera: Mariposa de Barrio,United States,2017,TV-MA,1,This drama follows Mexican-American singer Jenni Rivera's unlikely rise from suicidal pregnant teen and abused wife to banda superstar.,13
500,s1461,Monarca,Mexico,2021,TV-MA,2,"After 20 years, Ana María returns to Mexico and vies for control of her family's tequila empire as it threatens to crumble under corruption and secrets.",15
501,s1463,Running Man,Not Available,2020,TV-Y7,1,"Wanting to bring home the ultimate prize, a group of competitors gather for a championship — and discover both friends and enemies as they play!",14
502,s1464,The Cat in the Hat Knows a Lot About That!,Canada,2014,TV-Y,1,"The Cat in the Hat is back – and this time, he's teaching Sally and her brother, Nick, some awfully nifty things to think about!",14
503,s1466,The Haunted Hathaways,United States,2013,TV-G,2,Single mom Michelle Hathaway and her daughters find that they share their New Orleans home with the ghosts of single dad Ray Preston and his two sons.,17
504,s1474,Chilling Adventures of Sabrina,United States,2020,TV-14,4,"Magic and mischief collide as half-human, half-witch Sabrina navigates between two worlds: mortal teen life and her family's legacy, the Church of Night.",17
505,s1477,Best Leftovers Ever!,United States,2020,TV-G,1,Decadent pasta from day-old fries? Skillful cooks transform tired leftovers into tantalizing new dishes in this wildly creative culinary competition.,17
506,s1478,Dare Me,United States,2019,TV-MA,1,"Relationships topple and loyalties flip when an icy new cheerleading coach takes over the high school squad ruled by Beth and her devoted BFF, Addy.",17
507,s1479,Equinox,Denmark,2020,TV-MA,1,"Haunted by visions after her sister vanished with her classmates 21 years before, Astrid begins an investigation that uncovers the dark, eerie truth.",17
508,s1480,SanPa: Sins of the Savior,Italy,2020,TV-MA,1,"Amidst a heroin crisis, Vincenzo Muccioli cared for the addicted, earning him fierce public devotion — even as charges of violence began to mount.",18
509,s1481,Still Game,United Kingdom,2018,TV-14,9,"Scottish pensioners Jack and Victor make the most of their golden years, getting themselves into all kinds of scrapes in their Glasgow suburb.",13
510,s1483,Transformers: War for Cybertron: Earthrise,Not Available,2020,TV-Y7,1,"While Megatron takes drastic measures to save the Decepticons, the Autobots fight to save all of Cybertron from both on the planet and aboard the Ark.",19
511,s1484,A Love So Beautiful,South Korea,2020,TV-PG,1,"Love is as tough as it is sweet for a lovestruck teenager, whose relationship with her next-door neighbor transforms as they grow into adulthood.",13
512,s1488,Sakho & Mangane,Senegal,2019,TV-MA,1,A by-the-book police captain and a brash young detective must team up to take on the supernatural when strange forces begin to wreak havoc on Dakar.,19
513,s1490,Regiment Diaries,India,2020,TV-PG,2,"Historical footage and interviews with soldiers showcase war stories, unique traditions and unifying principles of the Indian Army’s various regiments.",22
514,s1493,Bridgerton,United States,2020,TV-MA,1,The eight close-knit siblings of the Bridgerton family look for love and happiness in London high society. Inspired by Julia Quinn's bestselling novels.,22
515,s1504,Lovestruck in the City,South Korea,2020,TV-14,1,"Heart stolen by a free-spirited woman after a beachside romance, a passionate architect sets out to reunite with her on the streets of Seoul.",15
516,s1506,Rhyme Time Town Singalongs,United States,2020,TV-Y,1,"Love snackable, snap-worthy songs? Sing along with the Rhyme Time Town friends as they use their imaginations and flex their problem-solving skills!",16
517,s1507,Shaun the Sheep,United Kingdom,2016,TV-Y,2,"Join freewheeling Shaun for barnyard misadventures with his cousin Timmy, giant sheepdog Bitzer, jealous cat Pidsley and fellow sheep Shirley.",17
518,s1509,Timmy Time,United Kingdom,2010,TV-Y,1,"This delightful animated series centers on impish lamb Timmy as he enters nursery school, where he learns about sharing, responsibility and fairness.",15
519,s1515,Diamond City,South Africa,2019,TV-MA,1,A prominent prosecuting attorney must defend her innocence — and her life — when she's set up and sent to prison as she investigates a conspiracy.,17
520,s1517,Home for Christmas,Norway,2020,TV-MA,2,"Tired of the constant comments on her relationship status, perpetually single Johanne starts a 24-day hunt for a boyfriend to bring home for Christmas.",13
521,s1521,Paava Kadhaigal,India,2020,TV-MA,1,"At times dark, at times disturbing, four short films explore stories of those who dare to dream and desire — and those determined to stand in their way.",19
522,s1528,Morphle,Netherlands,2020,TV-Y,2,"Little Mila turns playtime into a series of fun and educational adventures with her magical pet Morphle, who transforms into anything she dreams up!",16
523,s1529,Run On,South Korea,2020,TV-MA,1,"Veering off course from his preset path, a track star follows his own pace and heart for the first time after a film translator steps into his life.",21
524,s1531,Schulz Saves America,United States,2020,TV-MA,1,Comedian Andrew Schulz takes on the year's most divisive topics in this fearlessly unfiltered and irreverent four-part special.,17
525,s1533,Anitta: Made In Honório,Brazil,2020,TV-MA,1,"In this intimate documentary, Brazilian pop queen Anitta opens up about fame, family and her fierce work ethic, revealing the woman behind the hits.",20
526,s1534,BREAK IT ALL: The History of Rock in Latin America,Not Available,2020,TV-MA,1,"Soda Stereo, Café Tacvba, Aterciopelados and others figure in this 50-year history of Latin American rock through dictatorships, disasters and dissent.",17
527,s1536,How To Ruin Christmas,South Africa,2020,TV-MA,1,Prodigal daughter Tumi tries to make things right after completely ruining what should have been her sister's picture-perfect Christmas wedding.,21
528,s1539,Marvel Anime: Wolverine,United States,2011,TV-14,1,"Logan, aka mutant X-Man Wolverine, is on a quest to reclaim the love of his life – whose crime lord father is planning an arranged marriage for her.",19
529,s1540,Marvel Anime: X-Men,Japan,2011,TV-14,1,"A year after their dissolution, the X-Men are re-assembled by Professor Charles Xavier to investigate the kidnapping of young mutants in Japan.",20
530,s1542,The Ripper,United Kingdom,2020,TV-MA,1,"In the late 1970s, British police struggle to identify — let alone capture — the serial killer known throughout the world as the Yorkshire Ripper.",19
531,s1544,Black Ink Crew New York,United States,2014,TV-14,2,"At a Black-owned-and-operated hotspot for ink in Harlem, tattoo king Ceaser looks to expand his empire while working with a rambunctious crew.",21
532,s1546,Pup Academy,United States,2020,TV-Y,2,"Furry friends take a re-bark-able journey in this series about an extraordinary school for the cutest, cuddliest and most curious puppies.",19
533,s1547,Song Exploder,United States,2020,TV-MA,2,Get inspired as musicians dig deep into the creative process of songwriting and reveal their intimate thoughts in a series based on the hit podcast.,18
534,s1548,Teen Mom 2,United States,2011,TV-14,2,"The highs and lows of new parenting and adulting create drama and heartbreak as life moves on for the cast of ""16 and Pregnant"" Season 2.",15
535,s1549,The Challenge,United States,2006,TV-14,2,Reality show alumni must compete in grueling physical contests and survive eliminations amid cutthroat alliances and steamy hookups to win big money.,19
536,s1552,Hilda,United Kingdom,2021,TV-Y7,2,"Fearless, free-spirited Hilda finds new friends, adventure and magical creatures when she leaves her enchanted forest home and journeys to the city.",21
537,s1553,Tiny Pretty Things,United States,2020,TV-MA,1,"When an attack brings down the star student at an elite ballet school, her replacement enters a world of lies, betrayal — and cutthroat competition.",18
538,s1555,Children of Adam,Lebanon,2020,TV-14,1,"Amid crime and corruption, the lives of two couples intertwine as unexpected events soon reveal their dark secrets and tainted pasts.",21
539,s1556,Grizzy et les Lemmings,France,2018,TV-Y,2,"Strong, whip-smart Grizzy rules a Canadian forest, where he has his paws full with a family of frolicsome lemmings.",22
540,s1560,The Mess You Leave Behind,Spain,2020,TV-MA,1,A teacher starts her job at a high school but is haunted by a suspicious death that occurred there weeks before... and begins fearing for her own life.,20
541,s1563,Alice in Borderland,Japan,2020,TV-MA,1,"An aimless gamer and his two friends find themselves in a parallel Tokyo, where they're forced to compete in a series of sadistic games to survive.",21
542,s1565,Futmalls.com,Not Available,2020,TV-14,1,Strange occurrences afflict a group of people after they purchase items on a shopping website from the future.,18
543,s1570,Masameer Classics,Saudi Arabia,2013,TV-14,4,"Through dark comedy and eccentric characters, this web series offers a humorous view of the changes and cultural shifts in Saudi Arabia from 2011-2019.",22
544,s1571,Once Upon a Time,Egypt,2019,TV-14,1,"Fighting to save his ancestors' mansion from demolition, Youssef unpacks a series of love stories that took place there with a journalist.",14
545,s1573,The Big Show Show,United States,2020,TV-G,2,Former WWE wrestler the Big Show is out of the ring and ready for an even tougher challenge: raising three daughters with his wife in Florida.,21
546,s1574,The Expanding Universe of Ashley Garcia,United States,2020,TV-PG,3,15-year-old scientist Ashley Garcia explores the great unknown of modern teendom after moving across the country to pursue a career in robotics.,22
547,s1575,The Surgeon's Cut,United States,2020,TV-14,1,"They’re philosophers, storytellers and pioneers in their fields. Four surgeons reflect on their lives and professions in this inspiring docuseries.",21
548,s1579,Juman,Kuwait,2019,TV-PG,1,"Despite their estranged families, Juman and Hisham fall in love and get married but their different outlooks on life soon threaten their relationship.",19
549,s1580,Mr. Iglesias,United States,2020,TV-14,3,Hilarious high school teacher Gabriel Iglesias tries to make a difference in the lives of some smart but underperforming students at his alma mater.,12
550,s1584,100 Days My Prince,South Korea,2018,TV-14,1,"Upon losing his memory, a crown prince encounters a commoner’s life and experiences unforgettable love as the husband to Joseon’s oldest bachelorette.",17
551,s1586,Manhunt: Deadly Games,Not Available,2020,TV-14,1,"Despite his heroics, security guard Richard Jewell becomes a suspect in the FBI investigation of a foiled terrorist attack at the 1996 Olympics.",21
552,s1587,Room 2806: The Accusation,France,2020,TV-MA,1,This docuseries follows the 2011 sexual assault case involving French politician Dominique Strauss-Kahn at the height of his career.,15
553,s1588,Detention,Taiwan,2020,TV-MA,1,A tormented student uncovers unsettling secrets at her remote high school as betrayal and a paranormal encounter upend her life.,20
554,s1590,Bhaag Beanie Bhaag,India,2020,TV-MA,1,"Facing disapproving parents, a knotty love life and her own inner critic, an aspiring comic ditches her cushy but unsatisfying life to pursue stand-up.",19
555,s1591,Big Mouth,United States,2020,TV-MA,4,Teenage friends find their lives upended by the wonders and horrors of puberty in this edgy comedy from real-life pals Nick Kroll and Andrew Goldberg.,18
556,s1594,Kings of Jo'Burg,South Africa,2020,TV-MA,1,"The Masire brothers rule Johannesburg's criminal underworld, but a supernatural family curse and a tangled web of betrayal threaten to destroy them.",19
557,s1597,The Great British Baking Show: Holidays,Not Available,2020,TV-MA,3,"Deck the halls with sugar, butter and chocolate as competitors from past seasons bake sweet Yuletide treats for judges Paul Hollywood and Prue Leith.",16
558,s1604,Alien Worlds,United Kingdom,2020,TV-PG,1,"Applying the laws of life on Earth to the rest of the galaxy, this series blends science fact and fiction to imagine alien life on other planets.",14
559,s1606,Check The Store Next Door: The Next Chapter,Indonesia,2020,TV-14,2,"When a former shop owner grows bored of retirement, he buys a fish pond and manages the new hijinks in his life with a staff of quirky employees.",22
560,s1612,Are You The One,United States,2014,TV-14,2,"Determined by a dating algorithm, a group of single contestants must identify their perfect matches for a shot at love and a cash prize.",16
561,s1615,Gormiti,Spain,2018,TV-Y,1,Four friends become guardians of the island Gorm and must harness powers of the elements to stop an evil lord and his army from ruling the kingdom.,18
562,s1616,Ink Master,United States,2012,TV-14,2,"Ten of the country's most skilled tattoo artists compete for $100,000 and the title of Ink Master in this high-stakes elimination competition.",16
563,s1619,Octonauts,United States,2015,TV-Y,4,A team of brave underwater explorers known as the Octonauts combs the world's oceans for aquatic creatures in desperate need of assistance.,21
564,s1620,Oddbods,United Kingdom,2017,TV-Y,1,"Seven furry, colorful friends who live in the small town of Oddsville like to play, have adventures and get into all sorts of creative mischief.",20
565,s1623,Stargate SG-1,United States,2006,TV-MA,10,Stargate Command roars into action when Jack O'Neill and his crew find a Stargates map that lets them combat alien maneuvers all across the galaxy.,16
566,s1624,The Bachelorette,United States,2010,TV-14,1,Beloved “Bachelor” contestant Ali Fedotowsky embarks on her own search for happily ever after and navigates the thrills and spills of reality TV romance.,13
567,s1626,The Guest,South Korea,2018,TV-14,1,"Bound together by a tragic past, a psychic, a priest and a detective join forces to take down a powerful spirit that's driven by bloodthirst.",16
568,s1628,The Holiday Movies That Made Us,United States,2020,TV-PG,1,"Unwrap the real stories behind these iconic Christmas blockbusters, thanks to insider interviews and behind-the-scenes peeks.",16
569,s1629,The Repair Shop,United Kingdom,2018,TV-PG,1,Expert artisans restore timeworn family heirlooms with touching sentimental value while also uncovering their uniquely rich histories.,14
570,s1635,The Uncanny Counter,South Korea,2020,TV-14,1,"Noodle shop employees by day and demon hunters by night, the Counters use special abilities to chase down malevolent spirits that prey on humans.",17
571,s1639,Fabulous Lives of Bollywood Wives,India,2020,TV-MA,1,"Cameras follow the banter and bonding between four fun-loving women from Bollywood’s inner circle as they juggle professions, family and friendship.",14
572,s1640,Heartbreak High,Australia,1999,TV-14,7,A crash course on the turbulence of being a teen is always on the schedule for the students at Hartley High School in this 1990s series set in Sydney.,21
573,s1641,Over Christmas,Germany,2020,TV-MA,1,Down-and-out musician Bastian battles the blues as he returns home for Christmas and encounters a series of not-so-cheery surprises.,14
574,s1642,Sugar Rush Christmas,United States,2020,TV-14,2,"It's everything you love about ""Sugar Rush"" – with a holly jolly holiday twist – in this Christmas-themed spin on competitive baking.",19
575,s1650,Great Pretender,Japan,2020,TV-MA,2,"Supposedly Japan's greatest swindler, Makoto Edamura gets more than he bargained for when he tries to con Laurent Thierry, a real world-class crook.",20
576,s1655,Before 30,Nigeria,2015,TV-MA,1,"Four female friends in the fast-paced city of Lagos, Nigeria endure public and private pressures to walk down the aisle by the age of 30.",16
577,s1659,Valentino,Egypt,2020,TV-14,1,"As the owner of a group of international schools, a man gets caught in a series of scams as his wife, a principal, rules his life with an iron fist.",16
578,s1662,Strongest Deliveryman,South Korea,2017,TV-MA,1,Two gutsy food delivery workers strive to overcome their socioeconomic disadvantages to achieve big goals – and bump into love along the way.,14
579,s1668,Flavorful Origins,China,2020,TV-G,3,"Delve into the delectable world of Chaoshan cuisine, explore its unique ingredients and hear the stories of the people behind its creation.",19
580,s1669,Heart & Soul,Not Available,2019,TV-14,1,"At a hospital in Lagos, a doctor yearning for more field experience meets patients with various ailments that test his spiritual and medical beliefs.",22
581,s1671,Mismatched,India,2020,TV-MA,1,"After a disastrous set-up by their families, two teens strike up a tentative friendship at their summer program — but deeper feelings aren’t far behind.",21
582,s1673,Voices of Fire,United States,2020,TV-PG,1,"In this faith-based docuseries, Bishop Ezekiel Williams builds an inspiring, nontraditional gospel choir with the help of superstar nephew Pharrell.",20
583,s1685,Holiday Home Makeover with Mr. Christmas,United States,2020,TV-G,1,"Interior designer Benjamin “Mr. Christmas” Bradley works with a trusty team of ""elves” to help families transform their homes for the holidays.",14
584,s1688,The Boss Baby: Back in Business,United States,2020,TV-Y7,4,The Boss Baby brings his big brother Tim to the office to teach him the art of business in this animated series sprung from the hit film.,20
585,s1689,We Are the Champions,United States,2020,TV-MA,1,"Explore an array of unique competitions, from the quirky to the bizarre, and meet their passionate communities in this docuseries.",20
586,s1693,America's Next Top Model,United States,2013,TV-14,2,Supermodel Tyra Banks created and executive-produced this reality series that chronicles the transformation of young women into potential supermodels.,19
587,s1694,Beyblade Burst Rise,Japan,2019,TV-Y,1,"After training with legendary Valt Aoi, Dante and his trusty Ace Dragon lead the next generation of Bladers to battle in Japan — Beyblade's birthplace.",17
588,s1697,Polly Pocket,Canada,2021,TV-Y,2,"After uncovering a magical locket that allows her to shrink in size, Polly and her friends set out on big adventures with petite power.",14
589,s1698,Survivor,United States,2014,TV-14,2,"In this long-running reality competition series, players battle the elements and each other as they vie for $1 million and the title of Sole Survivor.",18
590,s1699,The Crown,United Kingdom,2020,TV-MA,4,This drama follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the 20th century.,19
591,s1702,American Horror Story,United States,2019,TV-MA,9,"This twisted Emmy-winning drama plays upon the power of supernatural fears and everyday horrors, exploring humankind's unsettling capacity for evil.",17
592,s1707,The Minions of Midas,Spain,2020,TV-MA,1,A millionaire publisher gets a blackmail note — his decision can mean life or death. Inspired by a Jack London story but set in contemporary Madrid.,22
593,s1709,Ethos,Turkey,2020,TV-MA,1,A group of individuals in Istanbul transcend sociocultural boundaries and find connection as their fears and wishes intertwine.,14
594,s1712,Graceful Friends,South Korea,2020,TV-MA,1,"When a sudden death brings everyone’s dirty secrets to the surface, the lives and marriages of a group of close-knit friends unravel out of control.",13
595,s1716,A Queen Is Born,Brazil,2020,TV-14,1,Gloria Groove and Alexia Twister make drag dreams come true as they help six artists find the confidence to own the stage in this makeover show.,21
596,s1717,Aunty Donna's Big Ol' House of Fun,Australia,2020,TV-MA,1,"Comedy trio Aunty Donna showcase their uniquely absurd and offbeat style through an array of sketches, songs and eclectic characters.",13
597,s1718,The Liberator,United States,2020,TV-MA,1,"A diverse, deeply brave crew of ragtag soldiers become some of the most heroic fighters of the European invasion in World War II. Based on true events.",14
598,s1719,Trial 4,United States,2020,TV-MA,1,"Charged as a teen in the 1993 killing of a Boston cop, Sean K. Ellis fights to prove his innocence while exposing police corruption and systemic racism.",20
599,s1722,A Lion in the House,United States,2006,TV-14,1,Five kids and their resilient families navigate the treatments and traumas of pediatric cancer in this documentary filmed over the course of six years.,16
600,s1723,DASH & LILY,United States,2020,TV-14,1,Opposites attract at Christmas as cynical Dash and sunny Lily trade messages and dares in a red notebook they pass back and forth around New York City.,17
601,s1724,Bakugan: Armored Alliance,Not Available,2020,TV-Y7,1,"Dan Kouzo and his crew of heroic brawlers battle both challengers and powerful, evil forces as they work to protect humans and the Bakugan.",14
602,s1725,Bakugan: Battle Planet,Japan,2018,TV-PG,1,Dan Kouzo and his pals bond with mysterious creatures known as Bakugan while fighting sinister forces out to control the world.,19
603,s1727,Country Ever After,United States,2020,TV-PG,1,"Country artist Coffey Anderson and his wife, hip-hop dancer Criscilla, juggle family life, career goals and tests of faith in this reality series.",17
604,s1731,Wrong Kind of Black,Australia,2018,TV-MA,1,"In 1970s Melbourne, a DJ named Boori Monty Pryor and his brother Paul navigate racial tensions and police encounters amid disco and discrimination.",13
605,s1734,Carmel: Who Killed Maria Marta?,Argentina,2020,TV-14,1,"A woman is found dead in her bathtub, with a puddle of blood nearby. Her husband theorizes she had an accident. But an autopsy tells a different story.",17
606,s1738,Paranormal,Egypt,2020,TV-14,1,"After a skeptical hematologist is plunged into a series of inexplicable events, he unwillingly becomes the go-to-guy for paranormal investigations.",17
607,s1741,Love & Anarchy,Sweden,2020,TV-MA,1,A married consultant and a young IT tech kick off a flirty game that challenges societal norms — and leads them to re-evaluate their entire lives.,17
608,s1747,Can You Hear Me?,Canada,2020,TV-MA,2,Three friends in a low-income neighborhood find humor and hope in their lives as they grapple with bad boyfriends and their dysfunctional families.,19
609,s1749,60 Days In,United States,2019,TV-MA,1,"Recruited by a sheriff, volunteers infiltrate county prisons to expose corruption and crime from within the system in this docuseries.",20
610,s1751,Dawson's Creek,United States,2002,TV-14,6,"This nighttime soap about a group of close-knit teens frankly depicts the issues of adolescence that obsess young adults, including sex, sex and sex.",22
611,s1755,Forged in Fire,United States,2019,TV-14,1,Bladesmiths vie for a cash prize by forging the best metal weapons from the pages of history in this competition series featuring expert judges.,19
612,s1756,Leah Remini: Scientology and the Aftermath,United States,2018,TV-14,3,Former Scientology members share detailed accounts of alleged abuse and harassment by the Church in this docuseries from actress Leah Remini.,21
613,s1757,LEGO Jurassic World: Legend of Isla Nublar,United States,2019,TV-Y,1,"At Jurassic Park, a velociraptor handler and an operations manager tackle crises of epic proportions as they try to prevent dinosaur-sized disasters.",20
614,s1758,LEGO Jurassic World: Secret Exhibit,United States,2018,TV-Y,1,A can-do problem solver teams up with a rugged animal behaviorist to transport a trio of dinosaurs across the park to a super-secret exhibit.,14
615,s1759,LEGO Ninjago,Canada,2020,TV-Y7,2,"While fighting foes across Ninjago City and beyond, the ninjas embark on new quests and gain newfound allies as the power of their friendship is tested.",18
616,s1760,LEGO Ninjago: Masters of Spinjitzu,Denmark,2019,TV-Y7,10,"Kai, Jay, Cole and Zane must master their elemental powers and Spinjitzu weapons to protect the land of Ninjago, which also has an underworld.",13
617,s1761,LEGO: CITY Adventures,United States,2019,TV-Y,1,"In a boomtown built on fun, friendship and wacky mischief, a quirky crew of cops and firefighters work hard to preserve the peace and awesomeness.",13
618,s1766,The Garfield Show,France,2018,TV-Y,4,"Lazy, lasagna-loving fat cat Garfield lives life on his own terms, which includes teasing his geeky owner, Jon, and tormenting dimwitted dog Odie.",18
619,s1767,The Good Detective,South Korea,2020,TV-MA,1,"When doubts rise about a five-year-old murder conviction, a veteran detective partners with a young hotshot to hunt down the case's hidden truths.",17
620,s1770,Voice,South Korea,2018,TV-14,2,"A deft detective whose wife is killed by a serial murderer teams up with a rookie cop, a gifted voice profiler dealing with her own father’s murder.",20
621,s1772,Afronta! Facing It!,Brazil,2017,TV-PG,1,"This docuseries spotlights Afro-Brazilian thinkers sharing their individual journeys and discussing representation, entrepreneurship and community.",19
622,s1774,Zumbo's Just Desserts,Australia,2019,TV-PG,1,"Dessert wizard Adriano Zumbo looks for the next “Willy Wonka” in this tense competition that finds skilled amateurs competing for a $100,000 prize.",17
623,s1779,Kongsuni and Friends,Not Available,2020,TV-Y,2,A bright-eyed girl and her magical owl sidekick find adventure when enchanting powers and creative ideas lead to important lessons.,19
624,s1780,Marvel's Agents of S.H.I.E.L.D.,United States,2020,TV-14,7,"Agent Phil Coulson, seen in action in Marvel's The Avengers, assembles a team of top S.H.I.E.L.D. agents to investigate bizarre threats.",14
625,s1782,Somebody Feed Phil,United States,2020,TV-14,4,"""Everybody Loves Raymond"" creator Phil Rosenthal travels the globe to take in the local cuisine and culture of Bangkok, Lisbon, Mexico City and more.",22
626,s1783,Suburra: Blood on Rome,Italy,2020,TV-MA,3,"In 2008, a fight over land in a seaside town near Rome spirals into a deadly battle between organized crime, corrupt politicians and the Vatican.",18
627,s1791,Blood of Zeus,United States,2020,TV-MA,1,"A commoner living in ancient Greece, Heron discovers his true heritage as a son of Zeus, and his purpose: to save the world from a demonic army.",17
628,s1792,Chico Bon Bon: Monkey with a Tool Belt,United States,2020,TV-Y,4,"Armed with tools and engineering smarts, monkey mechanic Chico Bon Bon and his Fix-It Force help the people of Blunderburg solve all of their problems.",18
629,s1795,The Devil Punisher,Taiwan,2020,TV-14,1,"A baker by day and demon fighter by night, a reincarnated deity must jog his amnesiac lover's memory of their millennium-long romance.",21
630,s1800,Barbarians,Germany,2020,TV-MA,1,"Torn between the mighty empire that raised him and his own tribal people, a Roman officer's conflicted allegiances lead to an epic historical clash.",17
631,s1801,Move,United States,2020,TV-MA,1,Discover the brilliant dancers and choreographers who are shaping the art of movement around the world in this documentary series.,14
632,s1804,Stolen Away,Spain,2020,TV-MA,1,"Searching for his kidnapped daughter, Antonio sets off a series of events affecting scores of people when he maneuvers to be sent to prison in Colombia.",20
633,s1805,The Queen's Gambit,United States,2020,TV-MA,1,"In a 1950s orphanage, a young girl reveals an astonishing talent for chess and begins an unlikely journey to stardom while grappling with addiction.",16
634,s1814,My Next Guest Needs No Introduction With David Letterman,United States,2020,TV-MA,3,TV legend David Letterman teams up with fascinating global figures for in-depth interviews and curiosity-fueled excursions in this monthly talk show.,22
635,s1829,Unsolved Mysteries,Not Available,2020,TV-MA,2,"Real cases of perplexing disappearances, shocking murders and paranormal encounters fuel this gripping revival of the iconic documentary series.",18
636,s1835,Start-Up,South Korea,2020,TV-14,1,Young entrepreneurs aspiring to launch virtual dreams into reality compete for success and love in the cutthroat world of Korea's high-tech industry.,18
637,s1838,Grand Army,United States,2020,TV-MA,1,"Five students at the largest public high school in Brooklyn take on a chaotic world as they fight to succeed, survive, break free and seize the future.",21
638,s1840,La Révolution,France,2020,TV-MA,1,"In a reimagined history, a mysterious disease besets 18th century France, culminating in a brutal clash between rebels and the aristocracy.",20
639,s1841,Someone Has to Die,Mexico,2020,TV-MA,1,"In conservative 1950s Spain, the alleged relationship between a young man and a Mexican ballerino creates an uproar of harrowing consequences.",12
640,s1842,The Last Kids on Earth,United States,2020,TV-Y7,3,"When zombies and monsters invade his hometown, a scrappy 13-year-old orphan teams up with his friends in hopes of surviving the chaos.",17
641,s1848,Fireman Sam,United Kingdom,2018,TV-Y,4,"Sharing valuable lessons in fire safety for preschoolers, Fireman Sam and his animated crew from Pontypandy, Wales, are ready for any emergency.",19
642,s1849,Half & Half,United States,2005,TV-14,4,"After two estranged half-sisters in their twenties find their lives suddenly entwined, they grow closer as they get to know more about each other.",16
643,s1852,One on One,United States,2006,TV-14,5,"When his ex-wife lands a job abroad, athlete-turned-sportscaster Flex Washington assumes full-time custody of their teenage daughter, Breanna.",17
644,s1853,Power Rangers Beast Morphers,United States,2020,TV-Y7,2,A new breed of secret agents must stop a ruthless computer virus and its minions from stealing the unlimited clean energy source that created them.,13
645,s1855,Social Distance,United States,2020,TV-MA,1,"Filmed in isolation, this narrative anthology series features both dark and funny takes on how people strive to stay connected while staying apart.",14
646,s1861,The Cabin with Bert Kreischer,United States,2020,TV-MA,1,"Fast-living comic Bert Kreischer heads to a cabin for some self-care and invites his funny friends to join his quest to cleanse his mind, body and soul.",12
647,s1865,Kipo and the Age of Wonderbeasts,United States,2020,TV-Y7,3,"Making her way through a world of mutant animals, a sheltered yet scrappy girl learns how to survive – and get home – with help from her ragtag crew.",20
648,s1869,Deaf U,United States,2020,TV-MA,1,"In this reality series, a tight-knit group of Deaf and hard of hearing students share their stories and explore life at Gallaudet University.",17
649,s1874,The Haunting of Bly Manor,United States,2020,TV-MA,1,"Dead doesn't mean gone. An au pair plunges into an abyss of chilling secrets in this gothic romance from the creator of ""The Haunting of Hill House.""",15
650,s1876,Do Do Sol Sol La La Sol,South Korea,2020,TV-14,1,"A riches-to-rags pianist who loses everything but her smile is guided by twinkling little stars to a small town where she finds hope, home and love.",21
651,s1878,Private Lives,South Korea,2020,TV-14,1,"In a world where data is no longer private, con artists uncover a sinister surveillance scheme headed by the government and a greedy corporation.",19
652,s1879,The 100,United States,2020,TV-MA,7,"A century after Earth was devastated by a nuclear apocalypse, 100 space station residents are sent to the planet to determine whether it's habitable.",18
653,s1881,To the Lake,Russia,2020,TV-MA,1,"Facing the end of civilization when a terrifying plague strikes, a group risks their lives, loves — and humanity — in a brutal struggle to survive.",13
